Chr;Motif name;Motif pos
chr2;stkA_M0775_1.02;3733
chr2;stkA_M0775_1.02;3734
chr2;stkA_M0775_1.02;3859
chr2;stkA_M0775_1.02;3955
chr2;stkA_M0775_1.02;3966
chr2;stkA_M0775_1.02;4020
chr2;stkA_M0775_1.02;4030
chr2;stkA_M0775_1.02;4050
chr2;stkA_M0775_1.02;4091
chr2;stkA_M0775_1.02;4093
chr2;stkA_M0775_1.02;4125
chr2;stkA_M0775_1.02;4223
chr3;stkA_M0775_1.02;87
chr3;stkA_M0775_1.02;218
chr3;stkA_M0775_1.02;229
chr3;stkA_M0775_1.02;351
chr3;stkA_M0775_1.02;582
chr3;stkA_M0775_1.02;677
chr3;stkA_M0775_1.02;843
chr3;stkA_M0775_1.02;879
chr3;stkA_M0775_1.02;885
chr3;stkA_M0775_1.02;911
chr3;stkA_M0775_1.02;931
chr3;stkA_M0775_1.02;943
chr3;stkA_M0775_1.02;1097
chr3;stkA_M0775_1.02;1271
chr3;stkA_M0775_1.02;1304
chr3;stkA_M0775_1.02;1364
chr3;stkA_M0775_1.02;1365
chr3;stkA_M0775_1.02;1377
chr3;stkA_M0775_1.02;1386
chr3;stkA_M0775_1.02;1614
chr3;stkA_M0775_1.02;1672
chr3;stkA_M0775_1.02;1674
chr3;stkA_M0775_1.02;1705
chr3;stkA_M0775_1.02;1803
chr3;stkA_M0775_1.02;1873
chr3;stkA_M0775_1.02;1891
chr3;stkA_M0775_1.02;1944
chr3;stkA_M0775_1.02;2016
chr3;stkA_M0775_1.02;2023
chr3;stkA_M0775_1.02;2163
chr3;stkA_M0775_1.02;2208
chr3;stkA_M0775_1.02;2241
chr3;stkA_M0775_1.02;2307
chr3;stkA_M0775_1.02;2339
chr3;stkA_M0775_1.02;2408
chr3;stkA_M0775_1.02;2479
chr3;stkA_M0775_1.02;2514
chr3;stkA_M0775_1.02;2653
chr3;stkA_M0775_1.02;2685
chr3;stkA_M0775_1.02;2754
chr3;stkA_M0775_1.02;2764
chr3;stkA_M0775_1.02;2944
chr3;stkA_M0775_1.02;3067
chr3;stkA_M0775_1.02;3096
chr3;stkA_M0775_1.02;3132
chr3;stkA_M0775_1.02;3161
chr3;stkA_M0775_1.02;69
chr3;stkA_M0775_1.02;131
chr3;stkA_M0775_1.02;243
chr3;stkA_M0775_1.02;370
chr3;stkA_M0775_1.02;385
chr3;stkA_M0775_1.02;460
chr3;stkA_M0775_1.02;505
chr3;stkA_M0775_1.02;526
chr3;stkA_M0775_1.02;548
chr3;stkA_M0775_1.02;555
chr3;stkA_M0775_1.02;584
chr3;stkA_M0775_1.02;621
chr3;stkA_M0775_1.02;623
chr3;stkA_M0775_1.02;649
chr3;stkA_M0775_1.02;683
chr3;stkA_M0775_1.02;689
chr3;stkA_M0775_1.02;832
chr3;stkA_M0775_1.02;852
chr3;stkA_M0775_1.02;968
chr3;stkA_M0775_1.02;1008
chr3;stkA_M0775_1.02;1011
chr3;stkA_M0775_1.02;1075
chr3;stkA_M0775_1.02;1123
chr3;stkA_M0775_1.02;1230
chr3;stkA_M0775_1.02;1236
chr3;stkA_M0775_1.02;1625
chr3;stkA_M0775_1.02;1661
chr3;stkA_M0775_1.02;1705
chr3;stkA_M0775_1.02;1724
chr3;stkA_M0775_1.02;2077
chr3;stkA_M0775_1.02;2125
chr3;stkA_M0775_1.02;2153
chr3;stkA_M0775_1.02;2199
chr3;stkA_M0775_1.02;2249
chr3;stkA_M0775_1.02;2256
chr3;stkA_M0775_1.02;2291
chr3;stkA_M0775_1.02;2312
chr3;stkA_M0775_1.02;2313
chr3;stkA_M0775_1.02;2374
chr3;stkA_M0775_1.02;2459
chr3;stkA_M0775_1.02;2515
chr3;stkA_M0775_1.02;2569
chr3;stkA_M0775_1.02;2609
chr3;stkA_M0775_1.02;2621
chr3;stkA_M0775_1.02;2651
chr3;stkA_M0775_1.02;2659
chr3;stkA_M0775_1.02;2673
chr3;stkA_M0775_1.02;2824
chr3;stkA_M0775_1.02;2825
chr3;stkA_M0775_1.02;2963
chr3;stkA_M0775_1.02;2973
chr3;stkA_M0775_1.02;3062
chr4;stkA_M0775_1.02;20
chr4;stkA_M0775_1.02;36
chr4;stkA_M0775_1.02;89
chr4;stkA_M0775_1.02;121
chr4;stkA_M0775_1.02;122
chr4;stkA_M0775_1.02;135
chr4;stkA_M0775_1.02;149
chr4;stkA_M0775_1.02;164
chr4;stkA_M0775_1.02;209
chr4;stkA_M0775_1.02;363
chr4;stkA_M0775_1.02;395
chr4;stkA_M0775_1.02;417
chr4;stkA_M0775_1.02;519
chr4;stkA_M0775_1.02;609
chr4;stkA_M0775_1.02;743
chr4;stkA_M0775_1.02;755
chr4;stkA_M0775_1.02;819
chr4;stkA_M0775_1.02;870
chr4;stkA_M0775_1.02;957
chr4;stkA_M0775_1.02;1003
chr4;stkA_M0775_1.02;1032
chr4;stkA_M0775_1.02;1058
chr4;stkA_M0775_1.02;1138
chr4;stkA_M0775_1.02;1153
chr4;stkA_M0775_1.02;1222
chr4;stkA_M0775_1.02;1259
chr4;stkA_M0775_1.02;1268
chr4;stkA_M0775_1.02;1287
chr4;stkA_M0775_1.02;1356
chr4;stkA_M0775_1.02;1369
chr4;stkA_M0775_1.02;1369
chr4;stkA_M0775_1.02;1494
chr4;stkA_M0775_1.02;1524
chr4;stkA_M0775_1.02;1558
chr4;stkA_M0775_1.02;1573
chr4;stkA_M0775_1.02;1727
chr4;stkA_M0775_1.02;1728
chr4;stkA_M0775_1.02;1762
chr4;stkA_M0775_1.02;1865
chr4;stkA_M0775_1.02;1925
chr4;stkA_M0775_1.02;1955
chr4;stkA_M0775_1.02;1961
chr4;stkA_M0775_1.02;1994
chr4;stkA_M0775_1.02;2033
chr4;stkA_M0775_1.02;2036
chr4;stkA_M0775_1.02;2045
chr4;stkA_M0775_1.02;2084
chr4;stkA_M0775_1.02;2108
chr4;stkA_M0775_1.02;2132
chr4;stkA_M0775_1.02;2154
chr4;stkA_M0775_1.02;2197
chr4;stkA_M0775_1.02;2211
chr4;stkA_M0775_1.02;2223
chr4;stkA_M0775_1.02;2313
chr4;stkA_M0775_1.02;2316
chr4;stkA_M0775_1.02;2333
chr4;stkA_M0775_1.02;2339
chr4;stkA_M0775_1.02;2392
chr4;stkA_M0775_1.02;2415
chr4;stkA_M0775_1.02;2446
chr4;stkA_M0775_1.02;2595
chr4;stkA_M0775_1.02;159
chr4;stkA_M0775_1.02;161
chr4;stkA_M0775_1.02;261
chr4;stkA_M0775_1.02;279
chr4;stkA_M0775_1.02;414
chr4;stkA_M0775_1.02;464
chr4;stkA_M0775_1.02;475
chr4;stkA_M0775_1.02;541
chr4;stkA_M0775_1.02;610
chr4;stkA_M0775_1.02;662
chr4;stkA_M0775_1.02;711
chr4;stkA_M0775_1.02;797
chr4;stkA_M0775_1.02;816
chr4;stkA_M0775_1.02;839
chr4;stkA_M0775_1.02;853
chr4;stkA_M0775_1.02;878
chr4;stkA_M0775_1.02;929
chr4;stkA_M0775_1.02;959
chr4;stkA_M0775_1.02;988
chr4;stkA_M0775_1.02;1024
chr4;stkA_M0775_1.02;1115
chr4;stkA_M0775_1.02;1175
chr4;stkA_M0775_1.02;1345
chr4;stkA_M0775_1.02;1355
chr4;stkA_M0775_1.02;1376
chr4;stkA_M0775_1.02;1404
chr4;stkA_M0775_1.02;1462
chr4;stkA_M0775_1.02;1470
chr4;stkA_M0775_1.02;1476
chr4;stkA_M0775_1.02;1485
chr4;stkA_M0775_1.02;1567
chr4;stkA_M0775_1.02;1621
chr4;stkA_M0775_1.02;1636
chr4;stkA_M0775_1.02;1714
chr4;stkA_M0775_1.02;1841
chr4;stkA_M0775_1.02;1886
chr4;stkA_M0775_1.02;1968
chr4;stkA_M0775_1.02;1980
chr4;stkA_M0775_1.02;2000
chr4;stkA_M0775_1.02;2036
chr4;stkA_M0775_1.02;2066
chr4;stkA_M0775_1.02;2215
chr4;stkA_M0775_1.02;2228
chr4;stkA_M0775_1.02;2392
chr4;stkA_M0775_1.02;2439
chr4;stkA_M0775_1.02;2451
chr4;stkA_M0775_1.02;2543
chr4;stkA_M0775_1.02;2545
chr4;stkA_M0775_1.02;2563
chr4;stkA_M0775_1.02;2672
chr4;stkA_M0775_1.02;2695
chr5;stkA_M0775_1.02;9
chr5;stkA_M0775_1.02;18
chr5;stkA_M0775_1.02;58
chr5;stkA_M0775_1.02;219
chr5;stkA_M0775_1.02;272
chr5;stkA_M0775_1.02;289
chr5;stkA_M0775_1.02;291
chr5;stkA_M0775_1.02;349
chr5;stkA_M0775_1.02;554
chr5;stkA_M0775_1.02;589
chr5;stkA_M0775_1.02;603
chr5;stkA_M0775_1.02;716
chr5;stkA_M0775_1.02;725
chr5;stkA_M0775_1.02;988
chr5;stkA_M0775_1.02;997
chr5;stkA_M0775_1.02;997
chr5;stkA_M0775_1.02;1124
chr5;stkA_M0775_1.02;1163
chr5;stkA_M0775_1.02;1189
chr5;stkA_M0775_1.02;1203
chr5;stkA_M0775_1.02;1289
chr5;stkA_M0775_1.02;1309
chr5;stkA_M0775_1.02;1412
chr5;stkA_M0775_1.02;1416
chr5;stkA_M0775_1.02;1422
chr5;stkA_M0775_1.02;1630
chr5;stkA_M0775_1.02;1632
chr5;stkA_M0775_1.02;1664
chr5;stkA_M0775_1.02;1664
chr5;stkA_M0775_1.02;1881
chr5;stkA_M0775_1.02;1893
chr5;stkA_M0775_1.02;1979
chr5;stkA_M0775_1.02;2036
chr5;stkA_M0775_1.02;2080
chr5;stkA_M0775_1.02;2081
chr5;stkA_M0775_1.02;2136
chr5;stkA_M0775_1.02;2243
chr5;stkA_M0775_1.02;2289
chr5;stkA_M0775_1.02;2291
chr5;stkA_M0775_1.02;2349
chr5;stkA_M0775_1.02;2442
chr5;stkA_M0775_1.02;43
chr5;stkA_M0775_1.02;86
chr5;stkA_M0775_1.02;110
chr5;stkA_M0775_1.02;159
chr5;stkA_M0775_1.02;253
chr5;stkA_M0775_1.02;304
chr5;stkA_M0775_1.02;364
chr5;stkA_M0775_1.02;415
chr5;stkA_M0775_1.02;501
chr5;stkA_M0775_1.02;579
chr5;stkA_M0775_1.02;630
chr5;stkA_M0775_1.02;630
chr5;stkA_M0775_1.02;770
chr5;stkA_M0775_1.02;942
chr5;stkA_M0775_1.02;950
chr5;stkA_M0775_1.02;986
chr5;stkA_M0775_1.02;1002
chr5;stkA_M0775_1.02;1204
chr5;stkA_M0775_1.02;1358
chr5;stkA_M0775_1.02;1372
chr5;stkA_M0775_1.02;1460
chr5;stkA_M0775_1.02;1571
chr5;stkA_M0775_1.02;1600
chr5;stkA_M0775_1.02;1749
chr5;stkA_M0775_1.02;1826
chr5;stkA_M0775_1.02;1871
chr5;stkA_M0775_1.02;1919
chr5;stkA_M0775_1.02;1934
chr5;stkA_M0775_1.02;1936
chr5;stkA_M0775_1.02;2066
chr5;stkA_M0775_1.02;2071
chr5;stkA_M0775_1.02;2104
chr5;stkA_M0775_1.02;2112
chr5;stkA_M0775_1.02;2281
chr5;stkA_M0775_1.02;2381
chr5;stkA_M0775_1.02;2509
chr5;stkA_M0775_1.02;2533
chr5;stkA_M0775_1.02;2553
chr5;stkA_M0775_1.02;2561
chr6;stkA_M0775_1.02;15
chr6;stkA_M0775_1.02;24
chr6;stkA_M0775_1.02;45
chr6;stkA_M0775_1.02;94
chr6;stkA_M0775_1.02;162
chr6;stkA_M0775_1.02;210
chr6;stkA_M0775_1.02;432
chr6;stkA_M0775_1.02;479
chr6;stkA_M0775_1.02;588
chr6;stkA_M0775_1.02;687
chr6;stkA_M0775_1.02;811
chr6;stkA_M0775_1.02;904
chr6;stkA_M0775_1.02;913
chr6;stkA_M0775_1.02;940
chr6;stkA_M0775_1.02;1003
chr6;stkA_M0775_1.02;1169
chr6;stkA_M0775_1.02;1215
chr6;stkA_M0775_1.02;1228
chr6;stkA_M0775_1.02;1265
chr6;stkA_M0775_1.02;1358
chr6;stkA_M0775_1.02;1438
chr6;stkA_M0775_1.02;1591
chr6;stkA_M0775_1.02;1652
chr6;stkA_M0775_1.02;1772
chr6;stkA_M0775_1.02;26
chr6;stkA_M0775_1.02;82
chr6;stkA_M0775_1.02;92
chr6;stkA_M0775_1.02;133
chr6;stkA_M0775_1.02;278
chr6;stkA_M0775_1.02;293
chr6;stkA_M0775_1.02;301
chr6;stkA_M0775_1.02;407
chr6;stkA_M0775_1.02;441
chr6;stkA_M0775_1.02;448
chr6;stkA_M0775_1.02;459
chr6;stkA_M0775_1.02;583
chr6;stkA_M0775_1.02;637
chr6;stkA_M0775_1.02;684
chr6;stkA_M0775_1.02;746
chr6;stkA_M0775_1.02;773
chr6;stkA_M0775_1.02;896
chr6;stkA_M0775_1.02;935
chr6;stkA_M0775_1.02;970
chr6;stkA_M0775_1.02;977
chr6;stkA_M0775_1.02;1053
chr6;stkA_M0775_1.02;1058
chr6;stkA_M0775_1.02;1206
chr6;stkA_M0775_1.02;1268
chr6;stkA_M0775_1.02;1298
chr6;stkA_M0775_1.02;1428
chr6;stkA_M0775_1.02;1646
chr6;stkA_M0775_1.02;1695
chr6;stkA_M0775_1.02;1766
chr6;stkA_M0775_1.02;1780
chr1;gtaI_M0779_1.02;190
chr1;gtaI_M0779_1.02;248
chr1;gtaI_M0779_1.02;376
chr1;gtaI_M0779_1.02;377
chr1;gtaI_M0779_1.02;391
chr1;gtaI_M0779_1.02;554
chr1;gtaI_M0779_1.02;690
chr1;gtaI_M0779_1.02;881
chr1;gtaI_M0779_1.02;945
chr1;gtaI_M0779_1.02;1030
chr1;gtaI_M0779_1.02;1037
chr1;gtaI_M0779_1.02;1066
chr1;gtaI_M0779_1.02;1072
chr1;gtaI_M0779_1.02;1114
chr1;gtaI_M0779_1.02;1124
chr1;gtaI_M0779_1.02;1134
chr1;gtaI_M0779_1.02;1300
chr1;gtaI_M0779_1.02;1370
chr1;gtaI_M0779_1.02;1578
chr1;gtaI_M0779_1.02;1629
chr1;gtaI_M0779_1.02;1825
chr1;gtaI_M0779_1.02;1872
chr1;gtaI_M0779_1.02;1939
chr1;gtaI_M0779_1.02;1979
chr1;gtaI_M0779_1.02;2029
chr1;gtaI_M0779_1.02;2123
chr1;gtaI_M0779_1.02;2182
chr1;gtaI_M0779_1.02;2212
chr1;gtaI_M0779_1.02;2212
chr1;gtaI_M0779_1.02;2347
chr1;gtaI_M0779_1.02;2438
chr1;gtaI_M0779_1.02;108
chr1;gtaI_M0779_1.02;203
chr1;gtaI_M0779_1.02;212
chr1;gtaI_M0779_1.02;486
chr1;gtaI_M0779_1.02;1188
chr1;gtaI_M0779_1.02;1190
chr1;gtaI_M0779_1.02;1349
chr1;gtaI_M0779_1.02;1351
chr1;gtaI_M0779_1.02;1769
chr1;gtaI_M0779_1.02;1795
chr1;gtaI_M0779_1.02;1800
chr1;gtaI_M0779_1.02;1807
chr1;gtaI_M0779_1.02;1812
chr1;gtaI_M0779_1.02;1936
chr1;gtaI_M0779_1.02;1975
chr1;gtaI_M0779_1.02;2043
chr1;gtaI_M0779_1.02;2317
chr1;gtaI_M0779_1.02;2342
chr1;gtaI_M0779_1.02;2417
chr2;gtaI_M0779_1.02;118
chr2;gtaI_M0779_1.02;288
chr2;gtaI_M0779_1.02;363
chr2;gtaI_M0779_1.02;396
chr2;gtaI_M0779_1.02;580
chr2;gtaI_M0779_1.02;758
chr2;gtaI_M0779_1.02;904
chr2;gtaI_M0779_1.02;1017
chr2;gtaI_M0779_1.02;1022
chr2;gtaI_M0779_1.02;1030
chr2;gtaI_M0779_1.02;1108
chr2;gtaI_M0779_1.02;1179
chr2;gtaI_M0779_1.02;1631
chr2;gtaI_M0779_1.02;1671
chr2;gtaI_M0779_1.02;1700
chr2;gtaI_M0779_1.02;1701
chr2;gtaI_M0779_1.02;1911
chr2;gtaI_M0779_1.02;1989
chr2;gtaI_M0779_1.02;2204
chr2;gtaI_M0779_1.02;2255
chr2;gtaI_M0779_1.02;2557
chr2;gtaI_M0779_1.02;2629
chr2;gtaI_M0779_1.02;2635
chr2;gtaI_M0779_1.02;2764
chr2;gtaI_M0779_1.02;2795
chr2;gtaI_M0779_1.02;2870
chr2;gtaI_M0779_1.02;3018
chr2;gtaI_M0779_1.02;3184
chr2;gtaI_M0779_1.02;3392
chr2;gtaI_M0779_1.02;3591
chr2;gtaI_M0779_1.02;3710
chr2;gtaI_M0779_1.02;3850
chr2;gtaI_M0779_1.02;235
chr2;gtaI_M0779_1.02;275
chr2;gtaI_M0779_1.02;302
chr2;gtaI_M0779_1.02;304
chr2;gtaI_M0779_1.02;312
chr2;gtaI_M0779_1.02;341
chr2;gtaI_M0779_1.02;386
chr2;gtaI_M0779_1.02;400
chr2;gtaI_M0779_1.02;403
chr2;gtaI_M0779_1.02;509
chr2;gtaI_M0779_1.02;557
chr2;gtaI_M0779_1.02;611
chr2;gtaI_M0779_1.02;766
chr2;gtaI_M0779_1.02;811
chr2;gtaI_M0779_1.02;811
chr2;gtaI_M0779_1.02;811
chr2;gtaI_M0779_1.02;1109
chr2;gtaI_M0779_1.02;1314
chr2;gtaI_M0779_1.02;1315
chr2;gtaI_M0779_1.02;1344
chr2;gtaI_M0779_1.02;1384
chr2;gtaI_M0779_1.02;1835
chr2;gtaI_M0779_1.02;2204
chr2;gtaI_M0779_1.02;2351
chr2;gtaI_M0779_1.02;2366
chr2;gtaI_M0779_1.02;2569
chr2;gtaI_M0779_1.02;2702
chr2;gtaI_M0779_1.02;2848
chr2;gtaI_M0779_1.02;2890
chr2;gtaI_M0779_1.02;2891
chr2;gtaI_M0779_1.02;2891
chr2;gtaI_M0779_1.02;2907
chr2;gtaI_M0779_1.02;2971
chr2;gtaI_M0779_1.02;3000
chr2;gtaI_M0779_1.02;3053
chr2;gtaI_M0779_1.02;3099
chr2;gtaI_M0779_1.02;3099
chr2;gtaI_M0779_1.02;3219
chr2;gtaI_M0779_1.02;3342
chr2;gtaI_M0779_1.02;3388
chr2;gtaI_M0779_1.02;3492
chr2;gtaI_M0779_1.02;3603
chr2;gtaI_M0779_1.02;3608
chr2;gtaI_M0779_1.02;3617
chr2;gtaI_M0779_1.02;3773
chr2;gtaI_M0779_1.02;3906
chr2;gtaI_M0779_1.02;4063
chr2;gtaI_M0779_1.02;4173
chr2;gtaI_M0779_1.02;4193
chr3;gtaI_M0779_1.02;99
chr3;gtaI_M0779_1.02;106
chr3;gtaI_M0779_1.02;109
chr3;gtaI_M0779_1.02;141
chr3;gtaI_M0779_1.02;164
chr3;gtaI_M0779_1.02;181
chr3;gtaI_M0779_1.02;196
chr3;gtaI_M0779_1.02;370
chr3;gtaI_M0779_1.02;475
chr3;gtaI_M0779_1.02;619
chr3;gtaI_M0779_1.02;688
chr3;gtaI_M0779_1.02;706
chr3;gtaI_M0779_1.02;709
chr3;gtaI_M0779_1.02;742
chr3;gtaI_M0779_1.02;950
chr3;gtaI_M0779_1.02;966
chr3;gtaI_M0779_1.02;1064
chr3;gtaI_M0779_1.02;1155
chr3;gtaI_M0779_1.02;1200
chr3;gtaI_M0779_1.02;1208
chr3;gtaI_M0779_1.02;1252
chr3;gtaI_M0779_1.02;1384
chr3;gtaI_M0779_1.02;1456
chr3;gtaI_M0779_1.02;1699
chr3;gtaI_M0779_1.02;1700
chr3;gtaI_M0779_1.02;1714
chr3;gtaI_M0779_1.02;1772
