Chr;Left;Right;Motif name;Frequency;Occuriencies around loop;Occuriencies in genome
chr3;445;451;gbfA_M1673_1.02;0.00070;3;4289
chr4;2325;2335;hbx5-1_M0873_1.02;0.00028;3;10702
chr4;2325;2335;hbx5-2_M0874_1.02;0.00065;2;3073
chr4;2325;2335;hbx10_M0878_1.02;0.00032;1;3127
chr5;368;379;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;368;379;gtaE_M0773_1.02;0.00113;2;1766
chr5;368;379;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;200;208;bzpH_M0283_1.02;0.00036;2;5514
chr1;1160;1169;hbx5-1_M0873_1.02;0.00028;3;10702
chr1;1160;1169;mybAA_M1347_1.02;0.00330;1;303
chr1;1160;1169;bzpJ_M0282_1.02;0.00099;1;1011
chr1;1160;1169;bzpH_M0283_1.02;0.00036;2;5514
chr1;1160;1169;bzpD_M0284_1.02;0.00266;1;376
chr1;1160;1169;gbfA_M1673_1.02;0.00023;1;4289
chr1;1160;1169;hbx5-2_M0874_1.02;0.00098;3;3073
chr1;724;731;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;724;731;gbfA_M1673_1.02;0.00070;3;4289
chr1;2251;2259;mybG_M1351_1.02;0.00013;1;7662
chr1;2251;2259;hbx4_M0872_1.02;0.00218;1;459
chr5;772;782;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;772;782;gtaE_M0773_1.02;0.00057;1;1766
chr5;772;782;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;1989;1997;mybG_M1351_1.02;0.00013;1;7662
chr1;1989;1997;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;1989;1997;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr1;1989;1997;bzpH_M0283_1.02;0.00036;2;5514
chr1;1989;1997;bzpO_M0287_1.02;0.00980;2;204
chr2;3549;3563;mybG_M1351_1.02;0.00013;1;7662
chr2;3549;3563;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;3549;3563;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;3549;3563;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;3549;3563;gbfA_M1673_1.02;0.00023;1;4289
chr5;1463;1472;mybG_M1351_1.02;0.00013;1;7662
chr5;1463;1472;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;1463;1472;gtaH_M0777_1.02;0.00277;1;361
chr2;3573;3584;hbx5-1_M0873_1.02;0.00037;4;10702
chr2;3573;3584;mybG_M1351_1.02;0.00013;1;7662
chr2;3573;3584;bzpS_M0288_1.02;0.00427;2;468
chr2;3573;3584;bzpJ_M0282_1.02;0.00099;1;1011
chr2;3573;3584;gtaE_M0773_1.02;0.00057;1;1766
chr2;3573;3584;gbfA_M1673_1.02;0.00023;1;4289
chr2;3573;3584;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;3573;3584;gtaC_M0776_1.02;0.00173;1;579
chr5;2321;2334;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;2321;2334;gtaE_M0773_1.02;0.00057;1;1766
chr5;2321;2334;gbfA_M1673_1.02;0.00023;1;4289
chr5;2321;2334;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;2321;2334;hbx2_M0875_1.02;0.00211;1;474
chr3;939;948;bzpH_M0283_1.02;0.00036;2;5514
chr3;3062;3072;gbfA_M1673_1.02;0.00023;1;4289
chr3;3062;3072;gtaL_M0780_1.02;0.00571;2;350
chr3;3062;3072;gtaH_M0777_1.02;0.00277;1;361
chr3;3062;3072;gtaI_M0779_1.02;0.00277;1;361
chr2;2752;2761;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;2752;2761;bzpD_M0284_1.02;0.00266;1;376
chr2;2752;2761;DDB_G0270590_M1714_1.02;0.00228;1;439
chr2;2752;2761;bzpJ_M0282_1.02;0.00099;1;1011
chr3;524;533;hbx5-1_M0873_1.02;0.00037;4;10702
chr3;524;533;bzpH_M0283_1.02;0.00036;2;5514
chr3;524;533;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;1867;1878;mybZ_M1350_1.02;0.00428;2;467
chr1;1867;1878;mybAA_M1347_1.02;0.00330;1;303
chr1;1867;1878;hbx10_M0878_1.02;0.00064;2;3127
chr2;3370;3379;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;3370;3379;mybQ_M1353_1.02;0.00435;1;230
chr2;3370;3379;hbx9_M0877_1.02;0.00166;1;602
chr2;3370;3379;mybG_M1351_1.02;0.00013;1;7662
chr2;3370;3379;mybAA_M1347_1.02;0.00330;1;303
chr2;3370;3379;bzpS_M0288_1.02;0.00427;2;468
chr2;3370;3379;bzpJ_M0282_1.02;0.00099;1;1011
chr2;3370;3379;bzpH_M0283_1.02;0.00036;2;5514
chr2;3370;3379;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;566;573;gbfA_M1673_1.02;0.00023;1;4289
chr2;566;573;bzpQ_M0286_1.02;0.00169;1;593
chr2;566;573;dimB_M0289_1.02;0.00324;1;309
chr1;1982;1989;bzpH_M0283_1.02;0.00036;2;5514
chr1;1982;1989;bzpO_M0287_1.02;0.00980;2;204
chr6;926;934;mybG_M1351_1.02;0.00013;1;7662
chr6;926;934;gbfA_M1673_1.02;0.00023;1;4289
chr6;926;934;hbx10_M0878_1.02;0.00032;1;3127
chr5;2357;2365;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;2357;2365;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;2357;2365;gbfA_M1673_1.02;0.00023;1;4289
chr5;2357;2365;hbx10_M0878_1.02;0.00032;1;3127
chr1;1140;1148;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;1140;1148;mybG_M1351_1.02;0.00026;2;7662
chr1;1140;1148;bzpH_M0283_1.02;0.00073;4;5514
chr1;1140;1148;hbx7_M0876_1.02;0.00292;1;343
chr1;1140;1148;hbx10_M0878_1.02;0.00032;1;3127
chr1;1140;1148;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;3883;3895;mybG_M1351_1.02;0.00065;5;7662
chr2;3883;3895;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;3883;3895;hbx10_M0878_1.02;0.00032;1;3127
chr1;718;722;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;718;722;bzpH_M0283_1.02;0.00036;2;5514
chr1;718;722;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr1;718;722;DDB_G0270590_M1714_1.02;0.00228;1;439
chr1;718;722;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;3648;3657;mybG_M1351_1.02;0.00013;1;7662
chr2;3648;3657;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;3648;3657;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;2509;2516;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;2509;2516;hbx5-2_M0874_1.02;0.00065;2;3073
chr2;2509;2516;bzpQ_M0286_1.02;0.00169;1;593
chr2;2509;2516;srfA_M1297_1.02;0.00081;1;1240
chr2;2509;2516;gtaE_M0773_1.02;0.00057;1;1766
chr2;3988;3996;hbx5-1_M0873_1.02;0.00028;3;10702
chr2;3988;3996;bzpH_M0283_1.02;0.00036;2;5514
chr2;3988;3996;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;3988;3996;hbx4_M0872_1.02;0.00218;1;459
chr2;3988;3996;gtaH_M0777_1.02;0.00277;1;361
chr2;3904;3919;hbx4_M0872_1.02;0.00218;1;459
chr2;3904;3919;mybV_M1348_1.02;0.00082;2;2436
chr2;3904;3919;mybG_M1351_1.02;0.00026;2;7662
chr2;3904;3919;bzpJ_M0282_1.02;0.00099;1;1011
chr2;3904;3919;bzpH_M0283_1.02;0.00036;2;5514
chr2;3904;3919;hbx10_M0878_1.02;0.00032;1;3127
chr2;3904;3919;DDB_G0270590_M1714_1.02;0.00228;1;439
chr6;744;751;hbx5-1_M0873_1.02;0.00028;3;10702
chr6;744;751;mybA_M1354_1.02;0.00467;1;214
chr6;744;751;mybAA_M1347_1.02;0.00330;1;303
chr6;744;751;hbx2_M0875_1.02;0.00211;1;474
chr6;744;751;gbfA_M1673_1.02;0.00023;1;4289
chr6;744;751;hbx5-2_M0874_1.02;0.00033;1;3073
chr6;744;751;bzpF_M0285_1.02;0.00962;1;104
chr4;1035;1046;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;1035;1046;hbx9_M0877_1.02;0.00166;1;602
chr4;1035;1046;mybG_M1351_1.02;0.00013;1;7662
chr4;1035;1046;bzpH_M0283_1.02;0.00036;2;5514
chr4;1035;1046;gtaE_M0773_1.02;0.00057;1;1766
chr4;1035;1046;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;1035;1046;mybZ_M1350_1.02;0.00214;1;467
chr1;1906;1912;hbx5-1_M0873_1.02;0.00019;2;10702
chr1;1906;1912;gbfA_M1673_1.02;0.00023;1;4289
chr1;1906;1912;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;2826;2834;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;2826;2834;mybG_M1351_1.02;0.00026;2;7662
chr2;2826;2834;hbx2_M0875_1.02;0.00211;1;474
chr2;2826;2834;gtaE_M0773_1.02;0.00057;1;1766
chr2;2826;2834;hbx10_M0878_1.02;0.00032;1;3127
chr2;2826;2834;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;3308;3317;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;3308;3317;mybV_M1348_1.02;0.00041;1;2436
chr2;3308;3317;mybG_M1351_1.02;0.00026;2;7662
chr2;3308;3317;bzpH_M0283_1.02;0.00036;2;5514
chr2;3308;3317;gtaE_M0773_1.02;0.00113;2;1766
chr2;3308;3317;hbx10_M0878_1.02;0.00096;3;3127
chr2;3308;3317;DDB_G0270590_M1714_1.02;0.00228;1;439
chr1;1851;1856;mybG_M1351_1.02;0.00013;1;7662
chr1;1851;1856;hbx5-1_M0873_1.02;0.00028;3;10702
chr1;1851;1856;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;504;514;mybG_M1351_1.02;0.00013;1;7662
chr5;1807;1812;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;1807;1812;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr5;1807;1812;hbx4_M0872_1.02;0.00218;1;459
chr5;1807;1812;bzpJ_M0282_1.02;0.00099;1;1011
chr4;121;130;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;121;130;stkA_M0775_1.02;0.00172;1;583
chr4;121;130;bzpH_M0283_1.02;0.00036;2;5514
chr1;1084;1090;mybG_M1351_1.02;0.00013;1;7662
chr1;1084;1090;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;1084;1090;gbfA_M1673_1.02;0.00023;1;4289
chr2;4116;4130;mybG_M1351_1.02;0.00026;2;7662
chr2;4116;4130;hbx5-1_M0873_1.02;0.00037;4;10702
chr2;4116;4130;hbx5-2_M0874_1.02;0.00033;1;3073
chr6;833;840;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;833;840;gtaE_M0773_1.02;0.00057;1;1766
chr6;1074;1082;mybG_M1351_1.02;0.00013;1;7662
chr6;1074;1082;gtaE_M0773_1.02;0.00057;1;1766
chr5;625;633;mybG_M1351_1.02;0.00026;2;7662
chr5;625;633;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;625;633;mybAA_M1347_1.02;0.00330;1;303
chr5;625;633;mybA_M1354_1.02;0.00467;1;214
chr5;885;897;mybG_M1351_1.02;0.00039;3;7662
chr5;885;897;hbx10_M0878_1.02;0.00032;1;3127
chr1;2353;2364;mybG_M1351_1.02;0.00013;1;7662
chr1;2353;2364;gbfA_M1673_1.02;0.00023;1;4289
chr2;2569;2578;hbx5-1_M0873_1.02;0.00037;4;10702
chr2;2569;2578;mybV_M1348_1.02;0.00041;1;2436
chr2;2569;2578;mybG_M1351_1.02;0.00013;1;7662
chr2;2569;2578;gtaL_M0780_1.02;0.00286;1;350
chr2;2569;2578;gtaI_M0779_1.02;0.00277;1;361
chr2;2569;2578;bzpH_M0283_1.02;0.00036;2;5514
chr2;2569;2578;gbfA_M1673_1.02;0.00023;1;4289
chr2;2569;2578;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;2569;2578;gtaC_M0776_1.02;0.00173;1;579
chr2;990;1005;mybG_M1351_1.02;0.00013;1;7662
chr2;990;1005;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;990;1005;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr3;2759;2768;mybG_M1351_1.02;0.00013;1;7662
chr3;2759;2768;hbx5-1_M0873_1.02;0.00028;3;10702
chr3;2759;2768;hbx10_M0878_1.02;0.00032;1;3127
chr1;2092;2099;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;2092;2099;hbx9_M0877_1.02;0.00166;1;602
chr1;2092;2099;mybV_M1348_1.02;0.00041;1;2436
chr1;2092;2099;mybG_M1351_1.02;0.00013;1;7662
chr1;2092;2099;hbx10_M0878_1.02;0.00032;1;3127
chr1;2092;2099;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr1;2092;2099;E2F_M0666_1.02;0.00251;2;796
chr2;436;442;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;436;442;stkA_M0775_1.02;0.00172;1;583
chr2;436;442;hbx10_M0878_1.02;0.00032;1;3127
chr2;436;442;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;436;442;gtaN_M0781_1.02;0.00610;1;164
chr2;2804;2813;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;2804;2813;mybV_M1348_1.02;0.00041;1;2436
chr2;2804;2813;gtaE_M0773_1.02;0.00057;1;1766
chr2;2804;2813;bzpH_M0283_1.02;0.00073;4;5514
chr2;2804;2813;bzpD_M0284_1.02;0.00266;1;376
chr2;2804;2813;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr4;2397;2412;mybG_M1351_1.02;0.00026;2;7662
chr4;2397;2412;hbx5-1_M0873_1.02;0.00028;3;10702
chr4;2397;2412;mybE_M1349_1.02;0.00171;1;584
chr4;2397;2412;hbx5-2_M0874_1.02;0.00065;2;3073
chr4;2397;2412;bzpJ_M0282_1.02;0.00099;1;1011
chr1;1021;1031;mybG_M1351_1.02;0.00052;4;7662
chr1;1021;1031;bzpH_M0283_1.02;0.00036;2;5514
chr1;1021;1031;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr1;1021;1031;hbx10_M0878_1.02;0.00032;1;3127
chr1;1021;1031;gbfA_M1673_1.02;0.00023;1;4289
chr1;208;215;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;208;215;bzpH_M0283_1.02;0.00036;2;5514
chr1;208;215;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;208;215;mybV_M1348_1.02;0.00041;1;2436
chr1;208;215;hbx7_M0876_1.02;0.00292;1;343
chr4;1718;1726;mybG_M1351_1.02;0.00013;1;7662
chr4;1718;1726;hbx5-1_M0873_1.02;0.00037;4;10702
chr4;1718;1726;bzpH_M0283_1.02;0.00036;2;5514
chr4;1718;1726;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;1229;1238;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;1229;1238;mybG_M1351_1.02;0.00013;1;7662
chr5;1229;1238;gtaT_M0778_1.02;0.00188;1;532
chr5;1229;1238;bzpJ_M0282_1.02;0.00099;1;1011
chr5;1229;1238;hbx10_M0878_1.02;0.00032;1;3127
chr5;1229;1238;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;2302;2309;mybG_M1351_1.02;0.00013;1;7662
chr1;2302;2309;gbfA_M1673_1.02;0.00023;1;4289
chr1;2302;2309;bzpJ_M0282_1.02;0.00099;1;1011
chr1;2302;2309;mybV_M1348_1.02;0.00041;1;2436
chr1;225;238;hbx10_M0878_1.02;0.00032;1;3127
chr1;1091;1100;stkA_M0775_1.02;0.00172;1;583
chr1;1091;1100;gbfA_M1673_1.02;0.00023;1;4289
chr1;1091;1100;gtaT_M0778_1.02;0.00188;1;532
chr4;1004;1015;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;1004;1015;bzpH_M0283_1.02;0.00073;4;5514
chr4;1004;1015;bzpQ_M0286_1.02;0.00169;1;593
chr2;4137;4144;mybG_M1351_1.02;0.00013;1;7662
chr2;4137;4144;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;4137;4144;bzpH_M0283_1.02;0.00036;2;5514
chr2;4137;4144;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;4137;4144;srfA_M1297_1.02;0.00081;1;1240
chr1;1813;1819;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;1813;1819;srfA_M1297_1.02;0.00081;1;1240
chr1;1813;1819;gtaT_M0778_1.02;0.00188;1;532
chr1;1813;1819;gtaL_M0780_1.02;0.00286;1;350
chr1;1813;1819;gtaI_M0779_1.02;0.00277;1;361
chr1;1813;1819;hbx7_M0876_1.02;0.00292;1;343
chr1;1813;1819;hbx10_M0878_1.02;0.00032;1;3127
chr1;1813;1819;gtaC_M0776_1.02;0.00173;1;579
chr1;1813;1819;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;1813;1819;DDB_G0270590_M1714_1.02;0.00228;1;439
chr3;2060;2072;hbx5-1_M0873_1.02;0.00037;4;10702
chr3;2060;2072;gtaL_M0780_1.02;0.00286;1;350
chr3;2060;2072;gtaH_M0777_1.02;0.00277;1;361
chr3;2060;2072;gtaI_M0779_1.02;0.00277;1;361
chr3;2060;2072;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;2060;2072;gtaC_M0776_1.02;0.00173;1;579
chr6;1119;1129;bzpH_M0283_1.02;0.00036;2;5514
chr6;1119;1129;hbx4_M0872_1.02;0.00218;1;459
chr6;1119;1129;bzpQ_M0286_1.02;0.00169;1;593
chr6;1119;1129;dimB_M0289_1.02;0.00324;1;309
chr1;2100;2108;hbx5-1_M0873_1.02;0.00019;2;10702
chr1;2100;2108;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;2100;2108;hbx10_M0878_1.02;0.00032;1;3127
chr6;515;524;hbx5-1_M0873_1.02;0.00037;4;10702
chr6;515;524;hbx5-2_M0874_1.02;0.00033;1;3073
chr6;515;524;hbx10_M0878_1.02;0.00032;1;3127
chr2;1046;1054;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;1046;1054;mybA_M1354_1.02;0.00467;1;214
chr2;1046;1054;mybG_M1351_1.02;0.00013;1;7662
chr2;1046;1054;gbfA_M1673_1.02;0.00023;1;4289
chr2;1046;1054;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;1046;1054;mybV_M1348_1.02;0.00041;1;2436
chr2;1046;1054;E2F_M0666_1.02;0.00126;1;796
chr6;1213;1224;hbx5-1_M0873_1.02;0.00019;2;10702
chr6;1213;1224;mybE_M1349_1.02;0.00171;1;584
chr6;1213;1224;hbx5-2_M0874_1.02;0.00065;2;3073
chr4;170;182;mybG_M1351_1.02;0.00013;1;7662
chr4;170;182;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;170;182;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr4;170;182;hbx9_M0877_1.02;0.00166;1;602
chr4;1908;1915;mybG_M1351_1.02;0.00013;1;7662
chr4;1908;1915;hbx5-1_M0873_1.02;0.00019;2;10702
chr4;1908;1915;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;214;223;mybG_M1351_1.02;0.00013;1;7662
